"ID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","Y"
277,12,6832,8,0.923245614,0.9419799499,5575,0.8621932122,1,8414,4.7,3.7,0
278,12,14911,11,0.6763686764,0.8102333102,1656,0.7196286472,7167,83555,4,1.7,0
279,1,543,1,0.3333333333,1,11290,0.8819321367,1498,28092,12,10,0
280,156,28161,73,0.7403362212,0.9973333333,18318,0.997509509,8,10744,11,4.3,0
281,50,86451,66,0.7078010713,0.9670466936,392,0.9090909091,13,6077,13.7,6,0
282,212,47522,83,0.8844489593,0.9834104966,7228,0.6128082998,2,6100,8.3,4.3,0
283,52,49145,59,0.7480130762,0.9208117708,342,1,0,0,1.7,1.7,0
284,22,20476,11,0.9103747857,0.6777505065,458,1,0,0,4.3,3,0
285,1,1060,3,0.7142857143,0.9166666667,2678,0.5267722474,3477,21944,1.7,1.3,0
286,183,29691,160,0.7472780773,1,26158,0.998824221,0,0,12,3.3,0
287,307,33058,91,0.8272430417,1,10228,0.9989648033,241,29413,15.7,7,0
288,14,15413,14,0.5704561139,0.6710270406,17533,0.8401800672,1,4140,10.3,7,0
289,14,15285,8,0.6891598916,0.6994579946,3767,0.6977124183,0,0,2.7,1.7,0
290,252,27091,136,0.837273266,0.9979752899,31,0.25,0,0,1.7,1.3,0
291,17,8073,6,0.7994397759,0.6899159664,3636,0.711662723,1423,59208,2.7,1,0
292,155,33214,87,0.6851313487,0.9969829878,0,0,0,0,9,2.7,0
293,276,16190,27,0.6478954434,0.9311280897,9786,0.7545758662,0,0,4.3,2.7,0
294,29,18722,18,0.8616271014,1,4381,1,990,26358,7.7,4.3,0
295,112,14641,51,0.8113634976,1,22210,1,0,0,12.3,7.3,0
296,394,81944,110,0.7775198514,0.9887382909,27489,0.924891875,113,38487,26,10.7,0
297,25,24417,35,0.7070255489,0.9211584158,16908,0.6709368698,132,214,11.3,5,0
298,208,45924,95,0.6394702842,1,7509,0.7318181818,0,0,13.3,3.7,0
299,35,10263,27,0.7695517514,0.9868663268,2722,0.8318622475,3319,74524,4,2.7,0
300,16,1105,10,0.606044724,0.9685534591,0,0,2028,38889,1.7,1.3,0
301,21,7066,33,0.6901154401,1,3261,1,3403,149775,17,9.7,0
302,23,9047,4,0.5802469136,0.987654321,6939,0.7642429032,12358,20040,5.7,2.3,0
303,1011,64398,123,0.6838320508,0.9988385598,14464,0.9956315981,0,0,23.3,5.3,0
304,13,6733,8,0.775,0.6125,18363,0.8120544315,2,8655,4.7,2,0
305,120,21808,22,0.7013682004,1,1089,0.9438405797,221,23662,5.7,3.3,0
306,113,33245,47,0.7859864729,0.9932189505,1619,1,2326,72757,14.7,4.7,0
307,9,6515,12,0.7099334357,0.930875576,12206,0.9290696685,962,23237,5.7,4.3,0
308,45,44656,64,0.7503408316,0.9530895385,1542,0.9410628019,944,1530,16,6.3,0
309,216,65582,146,0.7297597481,0.9964663959,16556,0.9882747069,0,0,19.3,4,0
310,27,15131,17,0.8897419892,0.9221389929,2692,0.7014652015,170,39842,7.7,3.3,0
311,26,17318,35,0.7398459384,0.9177608543,17261,0.6952242382,0,0,11,4.7,0
312,56,15767,47,0.7401855797,0.9592744029,10417,0.7636918383,86,140,3.3,2,0
313,0,0,0,0,0,0,0,348,28443,1,1,0
314,71,17250,23,0.725822094,0.9834213207,5792,0.9938271605,0,0,3.3,1.7,0
315,3,15250,9,0.8015873016,0.4279100529,9781,0.3219673271,0,0,3.3,2.3,0
316,3,6097,9,0.6629738016,1,23761,0.9083210483,12,20,9,3.3,0
317,281,15954,10,0.8086312748,1,1190,0.9952380952,895,31673,5,2.7,0
318,91,11400,23,0.6548387097,1,957,1,645,35567,5.7,4.7,0
319,47,33573,19,0.6560068149,0.8771929825,1622,0.941025641,0,0,3.7,3,0
